time,signal
1565,3.6125
1566,3.72
1567,2.59
1568,2.73
1569,2.94
1570,3.02
1571,4.756666667
1572,5.67
1573,4.096666667
1574,5.491666667
1575,5.94
1576,6.14
1577,7.153333333
1578,7.483333333
1579,8.176666667
1580,5.028333333
1581,3.895
1582,4.278333333
1583,5.181666667
1584,4.986
1585,6.575
1586,5.298333333
1587,5.468333333
1588,5.993333333
1589,7.322
1590,5.845
1591,3.486666667
1592,2.876666667
1593,3.816666667
1594,5.131666667
1595,5.833333333
1596,5.591666667
1597,6.135
1598,6.435
1599,5.551666667
1600,7.12
1601,6.158333333
1602,6.493333333
1603,6.236666667
1604,6.678333333
1605,7.215
1606,5.941666667
1607,5.666666667
1608,5.431666667
1609,5.728333333
1610,5.376666667
1611,4.698333333
1612,4.18
1613,4.371666667
1614,5.138333333
1615,4.303333333
1616,4.055
1617,4.308333333
1618,4.878333333
1619,4.78
1620,5.745
1621,6.85
1622,7.58
1623,7.48
1624,7.573333333
1625,7.115
1626,7.411666667
1627,6.891666667
1628,6.755
1629,6.9
1630,7.155
1631,8.353333333
1632,8.765
1633,8.796666667
1634,8.765
1635,8.375
1636,8.14
1637,7.186666667
1638,5.823333333
1639,6.888333333
1640,7.766666667
1641,7.833333333
1642,8.81
1643,9.191666667
1644,9.583333333
1645,9.745
1646,9.302
1647,7.81
1648,8.688333333
1649,8.646666667
1650,8.415
1651,8.79
1652,7.888333333
1653,7.286666667
1654,6.811666667
1655,8.06
1656,9.098333333
1657,9.385
1658,7.21
1659,5.501666667
1660,4.41
1661,3.336
1662,3.03
1663,3.05
1664,4.016666667
1665,4.228333333
1666,4.858333333
1667,5.433333333
1668,6.163333333
1669,7.211666667
1670,6.363333333
1671,5.173333333
1672,5.088333333
1673,5.49
1674,5.946666667
1675,6.82
1676,4.801666667
1677,3.42
1678,2.935
1679,3.2425
1680,3.263333333
1681,4.458333333
1682,4.871666667
1683,4.956666667
1684,5.175
1685,3.4975
1686,3.893333333
1687,3.916666667
1688,3.492
1689,3.92
1690,5.561666667
1691,5.653333333
1692,4.995
1693,5.218333333
1694,6.521666667
1695,6.033333333
1696,6.496666667
1697,6.96
1698,8.275
1699,8.021666667
1700,7.785
1701,7.115
1702,5.798333333
1703,5.45
1704,6.6
1705,6.036666667
1706,4.885
1707,3.31
1708,2.55
1709,3.005
1710,3.976
1711,5.558333333
1712,5.228333333
1713,5.483333333
1714,4.811666667
1715,5.02
1716,4.2
1717,3.516666667
1718,4.931666667
1719,4.248333333
1720,3.466666667
1721,4.901666667
1722,6.071666667
1723,5.881666667
1724,6.058333333
1725,6.128333333
1726,6.813333333
1727,6.148333333
1728,5.093333333
1729,5.61
1730,6.53
1731,7.323333333
1732,7.943333333
1733,8.088333333
1734,8.88
1735,8.22
1736,9.32
1737,8.086666667
1738,9.09
1739,9.033333333
1740,7.9
1741,7.796666667
1742,11.79
1743,10.74333333
1744,8.616666667
1745,8.792
1746,6.77
1747,9.158333333
1748,8.353333333
1749,9.67
1750,9.596666667
1751,10.102
1752,8.986666667
1753,7.91
1754,9.96
1755,10.004
1756,13.6825
1757,13.88
1758,9.706666667
1759,8.493333333
1760,8.211666667
1761,8.855
1762,9.572
1763,6.268333333
1764,5.788333333
1765,4.156
1766,9.6275
1767,9.293333333
1768,9.223333333
1769,8.305
1770,6.875
1771,5.538333333
1772,5.03
1773,4.576666667
1774,5.1
1775,5.195
1776,6.586666667
1777,8.06
1778,9.224
1779,8.096
1780,7.128333333
1781,7.505
1782,7.5875
1783,8.3825
1784,7.6
1785,7.44
1786,4.546666667
1787,2.67
1788,2.625
1789,3.13
1790,3.42
1791,4.7075
1792,4.865
1793,5.666666667
1794,6.643333333
1795,6.538333333
1796,6.885
1797,7.758
1798,9.178333333
1799,7.868333333
1800,7.323333333
1801,7.913333333
1802,7.565
1803,7.571666667
1804,7.981666667
1805,7.593333333
1806,9.348333333
1807,11.52166667
1808,10.92
1809,11.28166667
1810,8.794
1811,7.82
1812,7.12
1813,7.12
1814,6.183333333
1815,7.236666667
1816,6.351666667
1817,6.256666667
1818,5.381666667
1819,4.2
1820,6.808333333
1821,8.285
1822,7.901666667
1823,6.093333333
1824,4.666666667
1825,4.723333333
1826,4.126666667
1827,4.465
1828,3.725
1829,4.22
1830,5.93
1831,6.426666667
1832,4.913333333
1833,5.143333333
1834,6.318333333
1835,6.39
1836,5.87
1837,3.913333333
1838,3.536666667
1839,4.025
1840,4.476666667
1841,4.875
1842,4.715
1843,5.831666667
1844,6.668333333
1845,7.616666667
1846,6.716666667
1847,5.245
1848,5.445
1849,6.626666667
1850,6.611666667
1851,5.976666667
1852,4.88
1853,4.935
1854,6.448333333
1855,6.426666667
1856,6.885
1857,6.071666667
1858,5.28
1859,6.263333333
1860,6.035
1861,4.4
1862,5.053333333
1863,4.735
1864,4.168333333
1865,5.605
1866,6.925
1867,5.195
1868,5.705
1869,4.388333333
1870,4.611666667
1871,5.266666667
1872,4.233333333
1873,3.725
1874,3.53
1875,3.245
1876,5.516666667
1877,7.508333333
1878,8.273333333
1879,7.823333333
1880,7.968333333
1881,6.906666667
1882,4.903333333
1883,4.223333333
1884,3.44
1885,5.17
1886,5.881666667
1887,4.951666667
1888,4.963333333
1889,5.736666667
1890,5.365
1891,5.17
1892,5.378333333
1893,5.77
1894,5.931666667
1895,5.778333333
1896,6.496666667
1897,6.875
1898,8.713333333
1899,8.511666667
1900,8.746666667
1901,7.813333333
1902,4.791666667
